datum,feiertag
2014-01-01,Neujahr
2014-03-04,Karneval
2014-04-18,Karfreitag
2014-04-20,Ostersonntag
2014-04-25,Tag der Freiheit
2014-05-01,Tag der Arbeit
2014-06-10,Nationaltag
2014-06-19,Fronleichnam
2014-08-15,Mariä Himmelfahrt
2014-10-05,Tag der Republik
2014-11-01,Allerheiligen
2014-12-01,Tag der Unabhängigkeit
2014-12-08,Mariä Empfängnis
2014-12-25,Weihnachten
2015-01-01,Neujahr
2015-02-17,Karneval
2015-04-03,Karfreitag
2015-04-05,Ostersonntag
2015-04-25,Tag der Freiheit
2015-05-01,Tag der Arbeit
2015-06-04,Fronleichnam
2015-06-10,Nationaltag
2015-08-15,Mariä Himmelfahrt
2015-10-05,Tag der Republik
2015-11-01,Allerheiligen
2015-12-01,Tag der Unabhängigkeit
2015-12-08,Mariä Empfängnis
2015-12-25,Weihnachten
2016-01-01,Neujahr
2016-02-09,Karneval
2016-03-25,Karfreitag
2016-03-27,Ostersonntag
2016-04-25,Tag der Freiheit
2016-05-01,Tag der Arbeit
2016-05-26,Fronleichnam
2016-06-10,Nationaltag
2016-08-15,Mariä Himmelfahrt
2016-10-05,Tag der Republik
2016-11-01,Allerheiligen
2016-12-01,Tag der Unabhängigkeit
2016-12-08,Mariä Empfängnis
2016-12-25,Weihnachten
2017-01-01,Neujahr
2017-02-28,Karneval
2017-04-14,Karfreitag
2017-04-16,Ostersonntag
2017-04-25,Tag der Freiheit
2017-05-01,Tag der Arbeit
2017-06-10,Nationaltag
2017-06-15,Fronleichnam
2017-08-15,Mariä Himmelfahrt
2017-10-05,Tag der Republik
2017-11-01,Allerheiligen
2017-12-01,Tag der Unabhängigkeit
2017-12-08,Mariä Empfängnis
2017-12-25,Weihnachten
